car_park_no,x_coord,y_coord,kmeans,Sector
B6M,38858.3585,34156.6609,3,East
B6T,39044.9784,33995.6053,3,East
B60,38654.6406,35490.0933,3,East
B63,37937.9062,35591.9375,3,East
B65,40502.4219,33588.332,3,East
B65L,40720.5785,33389.4366,3,East
B65M,40577.3467,33351.3208,3,East
B66,35903.9044,34750.8852,3,East
B67,36132.6219,34913.1736,3,East
B68,39530.0381,33861.6257,3,East
B69,40091.8567,35069.2759,3,East
B7,38973.5423,34152.0151,3,East
B7A,39208.9372,34373.2247,3,East
B7B,39298.3108,34305.7565,3,East
B70,38536.5889,34280.1109,3,East
B71,38125.3637,34059.3926,3,East
B72,36243.3489,35174.2762,3,East
B73,36196.3322,34965.864,3,East
B74,36428.7057,35005.0793,3,East
B75,37379.8318,35029.8453,3,East
B76,39251.41,35342.7343,3,East
B77,39464.4992,35319.6825,3,East
B78,39692.6527,35310.6109,3,East
B79,39583.9006,35439.6773,3,East
B8,38567.8313,34234.9589,3,East
B8B,38531.1666,34114.4997,3,East
B80,38020.7204,35604.61,3,East
B81,39309.7384,33939.7118,3,East
B82,38805.8064,35117.6383,3,East
B83,37899.5392,34299.8988,3,East
B84,39227.6155,34273.0906,3,East
B85,40023.6834,34256.9953,3,East
B86,39393.0265,34775.2307,3,East
B87,39449.3971,33644.4324,3,East
B88,39683.2391,33835.9985,3,East
B89,39568.2194,34796.4641,3,East
B9,39184.2416,34709.4842,3,East
B90,39831.9791,33865.2621,3,East
B91,37007.0862,34999.621,3,East
B92,39197.6251,33772.3265,3,East
B93,39224.3984,33631.2777,3,East
B94,38688.1313,34940.2851,3,East
B94A,38668.2981,34834.5151,3,East
B95,39325.3283,34194.2403,3,East
B96,39088.1581,34133.7804,3,East
B97,38037.1417,35371.0192,3,East
B98,37860.0561,35362.5681,3,East
B99M,37954.0727,34412.5835,3,East
CAM,24092.2494,31574.3039,2,South
CCKC,18254.4236,40780.2921,0,West
CCM,24269.3904,31777.7395,2,South
CC1,37970.7792,34316.7372,3,East
CC10,38267.4015,34545.0259,3,East
CC11,37828.6078,34590.3599,3,East
CC12,38194.9297,34332.7592,3,East
CC4,37801.1879,34221.6662,3,East
CC5,38025.2345,34117.8358,3,East
CC6,38043.4844,33973.1328,3,East
CC7,38279.717,34164.7007,3,East
CC8,37584.5733,34347.0451,3,East
CC9,38313.9557,34438.2547,3,East
CDM,23934.8536,31553.8887,2,South
CKK1,18073.929,40606.0548,0,West
CKM1,17706.6149,40616.7716,0,West
CKM2,18365.515,42251.984,0,West
CKM3,17241.061,40350.4217,0,West
CKM4,17384.4024,40068.5078,0,West
CKM5,17135.7982,40142.8636,0,West
CKM6,17141.5616,39946.6052,0,West
CKM7,17288.8253,39773.897,0,West
CKM8,17432.5108,39671.7658,0,West
CKM9,17981.6699,39927.7497,0,West
CKT1,17457.2727,40253.9548,0,West
CKT2,17986.1193,40839.8157,0,West
CK1,19169.1019,39939.7774,0,West
CK10,18219.6466,40274.898,0,West
CK11,17822.7967,40079.0923,0,West
CK12,17816.8828,40361.3125,0,West
CK13,17841.917,40541.616,0,West
CK14,17897.997,40235.3892,0,West
CK15,17716.2981,40045.082,0,West
CK16,17528.125,40178.0781,0,West
CK17,17691.7227,40448.332,0,West
CK18,18797.0391,40329.4648,0,West
CK19,18875.7734,40272.4492,0,West
CK2,18880.332,40136.4375,0,West
CK20,17629.7003,40593.1789,0,West
CK22,18276.2056,40644.1197,0,West
CK23,17782.5234,40677.3633,0,West
CK24,17983.1711,40586.8844,0,West
CK25,18031.459,40472.3086,0,West
CK26,17943.7793,40730.3711,0,West
CK28,18079.0694,40228.4669,0,West
CK29,18072.2888,40190.9725,0,West
CK3,18734.6348,40064.9164,0,West
CK3A,18725.4974,40162.9532,0,West
CK30,18213.6543,40111.7031,0,West
CK31,18164.3898,40080.8939,0,West
CK32,18055.7989,39931.0181,0,West
CK33,17943.2973,41180.8424,0,West
CK34,17736.9363,41167.5327,0,West
CK35,17881.6424,41361.0029,0,West
CK36,17735.8704,41577.6177,0,West
CK37,17863.0257,41773.0092,0,West
CK38,18148.0534,41666.0012,0,West
CK39,18090.945,42004.5732,0,West
CK4,18912.6962,40234.9502,0,West
CK4A,18972.5753,40347.8975,0,West
CK40,18298.9982,41919.8106,0,West
CK41,18333.4408,41430.698,0,West
CK42,18363.8684,41631.0171,0,West
CK44,18631.6662,41611.081,0,West
CK45,18724.0529,41824.3887,0,West
CK46,18675.6762,41907.1414,0,West
CK47,18471.7225,41904.1787,0,West
CK48,18189.9873,42143.3391,0,West
CK49,18006.9629,42295.9806,0,West
CK5,19030.3926,40238.918,0,West
CK50,18031.8277,42477.9839,0,West
CK51,18459.6171,42391.2166,0,West
CK52,18754.0711,42503.4389,0,West
CK53,18748.505,42602.4434,0,West
CK54,18629.4583,42224.5521,0,West
CK55,18561.8248,42111.2701,0,West
CK56,18357.265,42562.8339,0,West
CK57,18541.2289,42678.1909,0,West
CK58,18157.8829,42638.4707,0,West
CK59,17841.6171,39866.5767,0,West
CK6,19073.3023,40300.0728,0,West
CK6A,19076.7918,40333.5431,0,West
CK60,18268.595,42905.4416,0,West
CK61,18607.321,42882.7597,0,West
CK62,18715.5324,42855.1194,0,West
CK63,18826.1888,42747.1959,0,West
CK64,18872.7705,42404.3378,0,West
CK65,18064.0069,41548.1433,0,West
CK66,18233.5224,41769.4117,0,West
CK7,18945.8673,40250.2699,0,West
CK70,17408.5254,39880.0108,0,West
CK71,17467.9916,39852.8673,0,West
CK72,17718.345,39728.0193,0,West
CK73,17994.5933,39697.5018,0,West
CK74,17975.1882,39477.9306,0,West
CK75,18119.3938,39664.2718,0,West
CK76,18305.5202,39560.1044,0,West
CK77,18361.9468,39838.3954,0,West
CK78,18660.8389,39885.9891,0,West
CK79,18695.601,39679.8718,0,West
CK8,18405.5916,40449.7464,0,West
CK8A,18614.0227,40353.8181,0,West
CK9,18162.1088,40384.5044,0,West
CK9A,18449.8356,40217.8144,0,West
CLM,25894.5957,30541.7316,2,South
CLNA,20180.2167,33851.5291,0,West
CLRG,20283.9283,33479.407,2,South
CLTR,20411.5945,33513.7467,2,South
CM1,28656.4003,28548.62,2,South
CR1,31337.5185,31734.6056,2,South
CR1A,31521.2359,31781.8809,2,South
CR1B,31565.7734,31819.2245,2,South
CR2,31599.1055,31890.8184,2,South
CR29,30612.5155,32012.4666,2,South
CR3,31450.707,31933.4004,2,South
CR30,30406.377,32213.3125,2,South
CR31,30379.3535,32063.9883,2,South
CR4,31351.9277,31854.1587,2,South
CR5,31218.4922,31730.7441,2,South
CR7,31229.7422,31984.8511,2,South
CSM,28873.2635,29983.8819,2,South
CTM1,20293.6227,33003.4096,2,South
CVBK,31083.7452,33199.2328,3,East
CV1,45233.8667,41140.4649,1,North-East
CV2,45212.8158,41314.4339,1,North-East
CV3,45045.6516,41323.3393,1,North-East
CV4,45264.5806,41344.1397,1,North-East
CY,30264.3593,31442.1456,2,South
C10,20837.8461,33414.5726,2,South
C11,20522.6462,33009.6141,2,South
C12,20519.9139,33782.4237,2,South
C13M,20528.1198,33646.8063,2,South
C14M,20417.4455,33296.1766,2,South
C15M,20290.6787,33170.3249,2,South
C16,20116.5191,32955.7857,2,South
C17,20273.9935,32905.3373,2,South
C18,20215.8784,32729.9597,2,South
C18A,20306.3068,32672.9468,2,South
C19M,20269.322,32850.6337,2,South
C2M,20717.3694,32581.3946,2,South
C20,20425.9232,32848.95,2,South
C20M,20469.2131,32645.0967,2,South
C21L,20624.0039,32590.9865,2,South
C21M,20566.6991,32662.4476,2,South
C22M,20991.1005,33766.9817,2,South
C24,21096.4707,34048.6484,2,South
C25,20840.7482,33844.4911,2,South
C26,20945.3775,33870.6421,2,South
C27,21010.3372,33832.437,2,South
C28,20211.495,33712.5638,2,South
C28M,20070.902,33845.674,0,West
C29,19754.8437,32767.8945,2,South
C29A,19749.6211,32629.2695,2,South
C3M,20967.8189,32458.1382,2,South
C3ML,20852.22,32522.1809,2,South
C30,19998.4863,32640.0059,2,South
C31,19907.0039,32541.0547,2,South
C32,19738.0729,32326.8057,2,South
C33,20603.5028,31877.1704,2,South
C34,19944.5184,32148.1942,2,South
C35,20000.4883,31993.6074,2,South
C36,20236.2232,31960.1377,2,South
C37,20282.323,31764.2687,2,South
C38,20121.5156,31683.3711,2,South
C39,20089.6113,32510.9746,2,South
C4M,21009.1656,32642.4126,2,South
C40L,20273.1009,31460.4731,2,South
C40M,20275.5121,31340.853,2,South
C41,20789.5326,31386.0593,2,South
C5,20905.8297,32821.8286,2,South
C6,20696.2978,32975.0306,2,South
C7,21037.2754,33018.7828,2,South
C8,20800.9102,33216.8047,2,South
C9,20988.0194,33324.5654,2,South
DRM1,25576.6096,29218.1692,2,South
DRM2,25165.8976,29305.1091,2,South
DRM3,25390.1316,29254.1321,2,South
DRM4,25668.1428,29257.6985,2,South
DRM5,25346.6693,29308.7018,2,South
DRS,25737.908,29213.3689,2,South
DSRL,24864.8825,31078.208,2,South
DSR1,24685.6441,31202.2045,2,South
DSR2,24885.23,31140.1423,2,South
DUXM,28860.8985,28827.1925,2,South
DWSO,25064.6593,30982.3473,2,South
DWSP,25620.1022,30938.7202,2,South
DWST,25626.2862,30840.6986,2,South
DWSV,25362.2059,30853.9755,2,South
DWVT,25420.9278,30734.4029,2,South
ECM,35602.0712,33584.2527,3,East
ECML,35592.0791,33722.6334,3,East
ECM2,35493.2923,33564.1391,3,East
EC2,35915.3437,33873.7578,3,East
EC3,35919.0977,33712.4297,3,East
EC4,35720.628,33641.6254,3,East
EC5,35717.5859,33809.3711,3,East
EC7,35601.9233,33339.4481,3,East
EC7T,35554.1536,33406.7099,3,East
EC8,35778.02,33499.0305,3,East
EI1,35070.0793,33964.0908,3,East
EI3,35240.6635,33456.9535,3,East
EPL,28733.8679,28847.7781,2,South
EPM,28622.0835,28739.5121,2,South
FRM,31121.2668,32341.4155,2,South
FR2C,25150.3008,33394.0586,2,South
FR2S,25091.4622,33354.5073,2,South
FR3M,24983.1434,33218.9585,2,South
FR4M,25130.4814,33238.9594,2,South
GBM,31930.2182,33890.9953,3,East
GEM,34041.285,33588.5472,3,East
GEML,34068.7879,33577.593,3,East
GE1A,33577.7747,33572.0259,3,East
GE1B,33973.3743,33717.7668,3,East
GE1C,33896.2141,33557.8016,3,East
GE1D,34214.9727,33789.4883,3,East
GE1E,33687.9721,33553.6719,3,East
GE1F,33666.5701,33497.1087,3,East
GE1G,33897.2922,33690.8917,3,East
GE2,33733.7656,33357.2852,3,East
GE3,34014.6484,33308.1484,3,East
GE5,34037.1328,33202.9687,3,East
GMLM,22713.9209,32338.0954,2,South
GM1A,22836.9123,32767.7127,2,South
GM1B,22985.068,32801.7739,2,South
GM1M,22552.3566,32407.3317,2,South
GM2,22974.2865,32655.7823,2,South
GM2A,22874.5952,32575.0244,2,South
GM3,23051.41,32606.52,2,South
GM5,23013.32,32520.93,2,South
GM6A,23036.915,32422.5932,2,South
GM6B,22917.7735,32435.7026,2,South
GSM,35236.2639,33275.6378,3,East
GSML,35252.7807,33256.2338,3,East
HCM,26691.3633,30161.685,2,South
HDBH,29669.4119,34933.9237,3,East
HE1,26779.8906,30181.1563,2,South
HE12,26367.5806,30069.2434,2,South
HE14,26768.4355,29793.2871,2,South
HE17,26561.0277,29871.6493,2,South
HE19,26627.3867,30326.9473,2,South
HE22,26834.7218,30269.4645,2,South
HE24,26627.4121,29677.5937,2,South
HE3,26708.25,29683.2227,2,South
HE4,26827.4609,29545.2148,2,South
HE9,26650.6074,29571.3613,2,South
HG1,34773.1311,38246.9455,1,North-East
HG1A,35619.4738,40071.2687,1,North-East
HG1B,35497.5223,39745.8425,1,North-East
HG1C,35850.5915,39983.2046,1,North-East
HG1D,34765.7308,38421.4154,1,North-East
HG1E,34832.7635,38300.6631,1,North-East
HG1F,33985.8567,37798.8386,1,North-East
HG10,34361.8201,37404.5949,3,East
HG11,34862.2295,38666.4192,1,North-East
HG12,35216.1904,38747.8164,1,North-East
HG13,35261.0156,38873.8796,1,North-East
HG14,35023.2798,39024.5479,1,North-East
HG15,33942.0874,37892.5664,1,North-East
HG16,34095.5904,37977.2274,1,North-East
HG17,34080.7076,37750.4416,1,North-East
HG18,34191.1758,37792.5508,1,North-East
HG19,33618.2651,37216.3433,3,East
HG2,34533.3906,38329.9531,1,North-East
HG2A,35501.0297,39817.8795,1,North-East
HG2B,33468.3697,39724.6803,1,North-East
HG2C,35112.2965,39125.1711,1,North-East
HG2D,33994.2969,40153.4168,1,North-East
HG20,33910.4258,36933.0703,3,East
HG22,33243.2373,37175.2101,3,East
HG23,34480.0781,37732.4375,1,North-East
