car_park_no,x_coord,y_coord,car_park_type,type_of_parking_system
HG97,34837.3954,39248.3805,SURFACE CAR PARK,ELECTRONIC PARKING
HG99,34202.0544,36839.2199,SURFACE CAR PARK,ELECTRONIC PARKING
HLM,29354.6692,29687.508,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
H3,27910.6083,30378.7005,SURFACE CAR PARK,ELECTRONIC PARKING
H3BL,33444.3288,40713.4165,SURFACE CAR PARK,ELECTRONIC PARKING
H3DL,33209.3106,40779.9579,SURFACE CAR PARK,ELECTRONIC PARKING
H87L,33038.8293,40052.7361,SURFACE CAR PARK,COUPON PARKING
H93L,33274.8825,40196.8778,SURFACE CAR PARK,ELECTRONIC PARKING
JB1,33505.3407,31638.549,SURFACE CAR PARK,ELECTRONIC PARKING
JB2,33528.7279,31552.9403,SURFACE CAR PARK,ELECTRONIC PARKING
JB3,33672.4849,31431.027,SURFACE CAR PARK,ELECTRONIC PARKING
JCM,35293.685,33059.6021,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
JCML,35269.0428,33048.779,SURFACE CAR PARK,ELECTRONIC PARKING
JM31,12894.0173,36018.9264,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
JM32,14062.3852,35973.1774,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
JSR2,13711.4533,36158.9284,SURFACE CAR PARK,ELECTRONIC PARKING
JS1L,13822.1572,35914.7433,SURFACE CAR PARK,ELECTRONIC PARKING
JS3L,13008.3628,35980.6896,SURFACE CAR PARK,ELECTRONIC PARKING
JS33,12457.7938,35259.9777,SURFACE CAR PARK,ELECTRONIC PARKING
JS5L,12828.9589,35710.5525,SURFACE CAR PARK,ELECTRONIC PARKING
J1,17402.9823,35401.3306,SURFACE CAR PARK,ELECTRONIC PARKING
J21A,16615.6323,36620.0095,SURFACE CAR PARK,COUPON PARKING
J38,15231.4766,36804.4414,SURFACE CAR PARK,ELECTRONIC PARKING
J4,17826.3697,35522.9964,SURFACE CAR PARK,ELECTRONIC PARKING
J42,15786.7041,36706.2305,SURFACE CAR PARK,COUPON PARKING
J46,15284.1084,36874.7695,SURFACE CAR PARK,ELECTRONIC PARKING
J47,15168.6443,36930.4317,SURFACE CAR PARK,ELECTRONIC PARKING
J56,17537.9507,35231.3632,SURFACE CAR PARK,ELECTRONIC PARKING
J57,17516.667,35130.0187,SURFACE CAR PARK,ELECTRONIC PARKING
J57L,17598.8143,35184.3604,SURFACE CAR PARK,ELECTRONIC PARKING
J58,17576.3345,35155.1132,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
J60L,15152.11,36874.8285,SURFACE CAR PARK,ELECTRONIC PARKING
J60M,15155.3093,36830.6309,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
J74M,12812.9485,36110.9309,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
J88M,13965.0447,35981.9547,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
KAB,29009.336,29350.1611,BASEMENT CAR PARK,ELECTRONIC PARKING
KAM,29110.783,29377.6082,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
KAML,29106.1357,29419.0762,SURFACE CAR PARK,ELECTRONIC PARKING
KAS,29052.1921,29224.6796,SURFACE CAR PARK,ELECTRONIC PARKING
KBRM,32562.6638,32889.7832,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
KB18,31607.4592,33883.3513,SURFACE CAR PARK,ELECTRONIC PARKING
KEM1,30136.2998,32358.8836,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
KE3M,36690.7665,35134.9344,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
KJML,30035.265,32724.2432,SURFACE CAR PARK,ELECTRONIC PARKING
KJM2,30084.3192,32664.3631,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
